"bpid","mlbid","Name","Age","Team","WARP","DRA.","DRA","DRA.SD","cFIP","G","GS","GR","IP","W","L","SV","ERA","RA9","FIP","WHIP","K.","BB.","K.BB","Whiff.","sbid","SPR"
67107,592717,"Aaron Sanchez",24,"TOR",-0.7,142,6.7,1.26,123,8,8,0,36,1,3,0,4.25,6,5.74,1.72,14.4,12,1.2,16.1,"ASANCHEZ-R",1.0057904525448
70497,605538,"Matt Wisler",24,"ATL",-0.7,119,5.62,0.91,118,20,1,19,32.3,0,1,0,8.35,8.63,5.2,1.73,14.4,8.5,1.7,21.5,"MWISLER-R",1.00287693043135
37412,429719,"Edwin Jackson",33,"",-0.8,111,5.21,0.81,113,16,13,3,76,5,6,0,5.21,6.28,6.14,1.51,17.7,8.6,2.1,23.2,"EJACKSON-R",1.00549727645057
58195,474699,"Vance Worley",29,"MIA",-0.9,128,6.01,0.87,112,24,12,12,71.7,2,6,1,6.91,7.03,4.9,1.8,15,9,1.7,13.9,"VWORLEY-R",1.0074843135685
101170,622766,"Miguel Diaz",22,"SDG",-0.9,120,5.65,0.91,121,31,3,28,41.7,1,1,0,7.34,7.56,7.02,1.66,17.2,13,1.3,21.6,"MDIAZ-R",1.0042180284866
47591,451596,"Yovani Gallardo",31,"SEA",-0.9,129,6.05,0.72,121,28,22,6,130.7,5,10,1,5.72,5.79,5.53,1.52,16.3,10.4,1.6,20.8,"YGALLARDO-R",1.01791519048002
106502,621058,"Andrew Moore",23,"SEA",-0.9,140,6.56,1,136,11,9,2,59,1,5,0,5.34,5.49,5.65,1.15,12.8,3.3,3.9,17.3,"AMOORE-R",1.00942178476164
58356,543408,"Tom Koehler",31,"",-1,121,5.69,0.81,116,27,13,14,72.7,1,7,0,6.69,6.81,6.05,1.62,18.6,10.5,1.8,22,"TKOEHLER-R",1.00845004554171
65853,518445,"Chad Bell",28,"DET",-1,115,5.41,0.82,107,28,4,24,62.3,0,3,0,6.93,7.07,5.47,1.8,19.5,10.6,1.8,21.2,"CBELL-L",1.01514420337864
52572,453178,"Ian Kennedy",32,"KAN",-1,117,5.49,0.71,119,30,30,0,154,5,13,0,5.38,5.79,5.61,1.32,20,9.3,2.1,22.5,"IKENNEDY-R",1.01119105754311
5034,285079,"R.A. Dickey",42,"ATL",-1.1,111,5.22,0.54,108,31,31,0,190,10,10,0,4.26,4.69,4.72,1.37,16.7,8.2,2,20.8,"RDICKEY-R",0.998156138580516
70778,596057,"Daniel Norris",24,"DET",-1.1,117,5.49,0.8,106,22,18,4,101.7,5,8,0,5.31,5.67,4.39,1.61,18.7,9.6,2,22.8,"DNORRIS-L",1.00519663459853
702,276520,"Bronson Arroyo",40,"CIN",-1.1,137,6.46,1,131,14,14,0,71,3,6,0,7.35,7.48,6.99,1.59,14,5.9,2.4,17.5,"BARROYO-R",1.00438982377076
50538,503449,"Wily Peralta",28,"MIL",-1.1,112,5.27,0.85,110,19,8,11,57.3,5,4,0,7.85,8.01,5.34,1.83,19.3,11.9,1.6,21.9,"WPERALTA-R",0.999585478341415
68391,518774,"Matt Harvey",28,"NYM",-1.1,132,6.2,0.9,124,19,18,1,92.7,5,7,0,6.7,6.8,6.37,1.69,15.5,10.9,1.4,18.7,"MHARVEY-R",1.01695814045684
101249,623167,"Chris Flexen",22,"NYM",-1.2,137,6.43,1.19,125,14,9,5,48,3,6,0,7.88,8.25,6.95,2.02,15.5,15,1,19.9,"CFLEXEN-R",1.00609515643932
70300,543045,"Adam Conley",27,"MIA",-1.2,126,5.91,0.79,121,22,20,2,102.7,8,8,0,6.14,6.49,5.62,1.52,15.6,9.1,1.7,22.3,"ACONLEY-L",1.01751201917917
46155,476451,"Jeremy Hellickson",30,"",-1.3,125,5.88,0.63,127,30,30,0,164,8,11,0,5.43,5.76,5.77,1.26,13.8,6.8,2,18.7,"JHELLICKSON-R",1.0028890188407
102011,571510,"Matthew Boyd",26,"DET",-1.3,121,5.71,0.79,111,26,25,1,135,6,11,0,5.27,5.6,4.51,1.56,18.2,8.8,2.1,22.8,"MBOYD-L",1.01015842330199
56742,502327,"Héctor Santiago",29,"MIN",-1.4,143,6.71,1.09,134,15,14,1,70.3,4,8,0,5.63,5.63,6.02,1.44,16.4,10,1.6,17.9,"HSANTIAGO-L",1.01440885984609
58617,475115,"Tyson Ross",30,"TEX",-1.5,137,6.42,1.15,120,12,10,2,49,3,3,0,7.71,8.45,6.18,1.84,15.1,15.5,1,18.8,"TROSS-R",1.00782635450133
70946,607237,"Amir Garrett",25,"CIN",-1.5,113,5.31,0.81,116,16,14,2,70.7,3,8,0,7.39,7.64,7.39,1.61,19.6,12.5,1.6,19.9,"AGARRETT-L",1.00489103796216
65945,534947,"Tim Adleman",29,"CIN",-1.7,114,5.35,0.74,116,30,20,10,122.3,5,11,0,5.52,5.81,5.87,1.43,20.3,9.6,2.1,24.6,"TADLEMAN-R",1.00441595415422
395,112526,"Bartolo Colon",44,"",-1.8,136,6.4,0.76,118,28,28,0,143,7,14,0,6.48,7.05,5.21,1.59,13.7,5.4,2.5,12.8,"BCOLON-R",1.02124172784581
70795,607192,"Tyler Glasnow",23,"PIT",-1.8,127,5.98,1.03,118,15,13,2,62,2,7,0,7.69,8.85,6.3,2.02,18.4,14.4,1.3,20.4,"TGLASNOW-R",1.0213978411263
45612,456701,"Homer Bailey",31,"CIN",-1.8,128,6.01,0.85,113,18,18,0,91,6,9,0,6.43,6.63,4.9,1.69,16,10,1.6,21.9,"HBAILEY-R",1.01659426501761
68529,592229,"Dylan Covey",25,"CWS",-1.9,145,6.8,1.07,127,18,12,6,70,0,7,0,7.71,7.71,7.2,1.67,13.3,11,1.2,16.3,"DCOVEY-R",1.00925035072826
59663,571787,"David Holmberg",25,"CWS",-1.9,144,6.79,0.86,131,37,7,30,57.7,2,4,0,4.68,5.77,6.8,1.68,12.1,12.5,1,17.8,"DHOLMBERG-L",1.00097699305282
71010,605194,"Jharel Cotton",25,"OAK",-1.9,121,5.7,0.66,119,24,24,0,129,9,10,0,5.58,6.35,5.68,1.44,18.6,9.4,2,22.3,"JCOTTON-R",1.00302963929022
49168,475243,"Travis Wood",30,"",-2,139,6.52,0.78,126,39,14,25,94,4,7,0,6.8,7.37,5.9,1.73,14.9,10.3,1.4,14.4,"TWOOD-L",1.01193159859168
65757,456167,"A.J. Griffin",29,"TEX",-2,134,6.28,0.91,131,18,15,3,77.3,6,6,0,5.94,6.05,6.26,1.34,18,8.3,2.2,20.2,"AGRIFFIN-R",1.00090951189417
57163,519455,"Jordan Zimmermann",31,"DET",-2.4,143,6.72,0.87,123,29,29,0,160,8,13,0,6.08,6.24,5.18,1.55,14.4,6.2,2.3,17.9,"JZIMMERMANN-R",1.01207917836687
49616,460059,"Mike Pelfrey",33,"CWS",-2.6,137,6.44,0.79,123,34,21,13,120,3,12,0,5.93,6.53,6.35,1.58,14.5,11.4,1.3,17.5,"MPELFREY-R",1.01380838578938
58453,489119,"Wade Miley",30,"BAL",-2.9,133,6.26,0.74,114,32,32,0,157.3,8,15,0,5.61,5.95,5.27,1.73,19.5,12.8,1.5,21.9,"WMILEY-L",1.01038847372159
50062,501957,"Chris Tillman",29,"BAL",-3.1,182,8.56,1.1,139,24,19,5,93,1,7,0,7.84,8.32,6.93,1.89,14.2,11.5,1.2,18,"CTILLMAN-R",1.00932739527024
56468,502706,"Derek Holland",30,"CWS",-4.6,159,7.48,0.99,134,29,26,3,135,7,14,0,6.2,7.07,6.45,1.71,16.6,12,1.4,18.8,"DHOLLAND-L",1.02918279407075
