Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
910,963,V,DET,ASIMON-R,0,1,0,0,0,0,2,2,0,5,170,170,1.5,-120,8,-110,8,-115
910,964,H,CLE,DSALAZAR-R,0,0,0,1,0,2,2,2,x,7,-200,-200,-1.5,100,8,-110,8,-105
910,965,V,COL,DELAROSA-L,1,0,0,0,0,1,1,1,0,4,125,145,1.5,-155,7,100,7.5,-105
910,966,H,SDG,TROSS-R,0,0,0,2,1,0,0,0,0,3,-145,-160,-1.5,135,7,-120,7.5,-115
911,901,V,MIL,JNELSON-R,2,0,0,0,0,0,0,1,0,3,150,153,1.5,-140,7.5,-115,7.5,-105
911,902,H,PIT,CMORTON-R,0,0,0,3,0,1,2,0,x,6,-170,-173,-1.5,120,7.5,-105,7.5,-115
911,903,V,CUB,HENDRICKS-R,1,2,0,0,3,0,1,0,0,7,-210,-210,-1.5,-140,8.5,-120,9,100
911,904,H,PHI,AASHER-R,0,0,0,1,1,0,1,0,0,3,180,180,1.5,120,8.5,100,9,-120
911,905,V,STL,JLACKEY-R,0,1,0,1,0,0,0,0,,2,-150,-157,-1.5,-104,8.5,100,8,-115
911,906,H,CIN,MLORENZEN-R,1,1,0,0,0,0,0,0,,2,130,142,1.5,-116,8.5,-120,8,-105
911,907,V,WAS,GGONZALEZ-L,0,0,0,0,0,1,0,0,0,1,-140,-149,-1.5,110,8,100,7.5,-110
911,908,H,MIA,JCOSART-R,0,0,0,1,0,0,1,0,x,2,120,134,1.5,-130,8,-120,7.5,-110
911,909,V,NYM,SMATZ-L,0,0,1,0,1,0,0,1,2,5,-181,-207,-1.5,-130,8,-120,8,-105
911,910,H,ATL,MWISLER-R,0,0,0,0,1,0,0,0,0,1,161,177,1.5,110,8,100,8,-115
911,911,V,LOS,AWOOD-L,0,0,0,0,0,0,0,0,4,4,-135,-105,-1.5,150,8.5,-110,8.5,-105
911,912,H,ARI,RRAY-L,4,6,0,1,0,1,0,0,x,12,115,-105,1.5,-170,8.5,-110,8.5,-115
911,913,V,SDG,ACASHNER-R,0,1,0,0,0,0,0,0,0,1,125,114,1.5,-206,7,-105,7.5,100
911,914,H,SFO,JPEAVY-R,0,1,2,0,2,0,4,0,x,9,-145,-124,-1.5,176,7,-115,7.5,-120
911,915,V,KAN,DDUFFY-L,1,2,0,0,0,1,1,1,2,8,-120,-120,-1.5,135,8.5,-125,9,100
911,916,H,BAL,MWRIGHT-R,0,0,1,1,0,1,1,10,x,14,100,110,1.5,-155,8.5,105,9,-120
911,917,V,TOR,DPRICE-L,5,0,1,2,1,0,2,0,0,11,-115,-152,-1.5,101,9,100,7.5,100
911,918,H,NYY,LSEVERINO-R,0,0,1,1,0,3,0,0,0,5,-105,137,1.5,-121,9,-120,7.5,-120
911,919,V,BOS,WMILEY-L,1,0,0,0,0,3,0,0,0,4,145,138,1.5,-170,7,-120,7,100
911,920,H,TAM,CARCHER-R,3,0,0,0,0,0,0,5,x,8,-165,-153,-1.5,150,7,100,7,-120
911,923,V,OAK,JCHAVEZ-R,0,0,0,0,0,0,0,0,0,0,140,116,1.5,-170,9.5,100,9,-120
911,924,H,TEX,CLEWIS-R,3,0,0,0,0,0,1,0,x,4,-160,-131,-1.5,150,9.5,-120,9,100
911,925,V,MIN,ESANTANA-R,0,0,0,1,0,1,0,1,3,6,-105,-102,1.5,-230,9,105,8,-120
911,926,H,CWS,EJOHNSON-R,0,0,0,0,2,0,0,0,0,2,-115,-108,-1.5,190,9,-125,8,100
911,927,V,HOU,DKEUCHEL-L,0,0,0,0,0,2,0,0,0,2,-130,-156,-1.5,100,7,-125,7.5,-119
911,928,H,LAA,JWEAVER-R,0,3,0,0,0,0,0,0,x,3,110,141,1.5,-120,7,105,7.5,-101
911,929,V,COL,CBETTIS-R,0,0,0,0,0,0,3,0,1,4,150,170,1.5,-120,7.5,-105,7.5,-110
911,930,H,SEA,HIWAKUMA-R,0,0,0,0,0,0,0,2,0,2,-170,-200,-1.5,100,7.5,-115,7.5,-110
911,931,V,CUB,JARRIETA-R,0,0,0,0,2,2,1,0,0,5,-120,-305,-1.5,-172,9,100,7,-125
911,932,H,PHI,AMORGAN-L,0,1,0,0,0,0,0,0,0,1,100,255,1.5,152,9,-120,7,105
912,951,V,STL,LLYNN-R,1,0,0,0,0,0,0,0,0,1,-145,-124,-1.5,125,8,-110,7.5,-110
912,952,H,CIN,DESCLAFANI-R,0,0,0,0,3,0,1,1,x,5,125,114,1.5,-145,8,-110,7.5,-110
912,953,V,CUB,TWOOD-L,0,0,1,0,0,0,0,4,0,5,-175,-178,-1.5,-125,9,100,8.5,-115
912,954,H,PHI,JEICKHOFF-R,0,0,0,0,0,0,5,0,2,7,155,158,1.5,105,9,-120,8.5,-105
912,955,V,MIL,ZDAVIES-R,0,0,0,0,0,0,1,1,0,2,150,157,1.5,-145,8.5,-110,7.5,-110
912,956,H,PIT,JLOCKE-L,0,0,5,1,0,0,4,0,x,10,-170,-177,-1.5,125,8.5,-110,7.5,-110
912,957,V,WAS,TROARK-R,0,0,0,0,0,0,0,0,0,0,145,137,1.5,-165,7,-120,7,100
912,958,H,MIA,JFERNANDZ-R,0,0,0,1,1,0,0,0,x,2,-165,-152,-1.5,145,7,100,7,-120
912,959,V,NYM,SYNDERGARD-R,0,0,0,2,0,1,0,1,2,6,-200,-196,-1.5,-130,8,-110,8,100
912,960,H,ATL,WPEREZ-R,1,0,0,0,0,0,0,3,0,4,170,176,1.5,110,8,-110,8,-120
912,961,V,LOS,BOLSINGER-R,2,0,5,0,1,0,0,0,1,9,-125,-121,-1.5,130,8.5,-110,8.5,-120
912,962,H,ARI,DELAROSA-R,0,0,0,3,0,1,1,0,0,5,105,111,1.5,-150,8.5,-110,8.5,100
912,963,V,SDG,IKENNEDY-R,0,0,0,0,0,0,0,0,0,0,160,175,1.5,-135,6.5,100,6.5,-115
912,964,H,SFO,BUMGARNER-L,0,0,0,4,3,0,1,0,x,8,-180,-205,-1.5,115,6.5,-120,6.5,-105
912,965,V,KAN,YVENTURA-R,0,1,0,0,0,5,5,0,3,14,-135,-128,-1.5,125,8.5,100,8.5,-110
912,966,H,BAL,CTILLMAN-R,1,0,3,0,0,0,0,2,0,6,115,118,1.5,-145,8.5,-120,8.5,-110
912,967,V,TOR,MESTRADA-R,0,0,0,1,3,0,0,1,0,9,100,125,1.5,-175,8.5,-106,8.5,-120
912,968,H,NYY,MPINEDA-R,1,1,0,2,0,0,0,1,0,5,-120,-140,-1.5,155,8.5,-114,8.5,100
912,969,V,BOS,RPORCELLO-R,3,0,2,2,1,0,2,0,0,10,-114,-115,-1.5,140,7.5,-120,8,-120
912,970,H,TAM,MMOORE-L,0,0,0,0,2,0,1,1,0,4,-106,105,1.5,-160,7.5,100,8,100
912,971,V,MIN,TMILONE-L,2,0,0,0,0,0,0,0,0,2,110,106,1.5,-210,8,-120,7.5,-105
912,972,H,CWS,JQUINTANA-L,0,0,0,7,0,0,0,1,x,8,-130,-116,-1.5,180,8,100,7.5,-115
912,975,V,OAK,SNOLIN-L,0,0,0,0,5,0,0,0,0,5,155,158,1.5,-135,9.5,100,8.5,-120
912,976,H,TEX,YGALLARDO-R,0,1,0,0,0,0,0,0,2,3,-175,-178,-1.5,115,9.5,-120,8.5,100
912,977,V,HOU,MCCULLERS-R,0,0,0,0,0,1,1,0,0,2,-120,-127,-1.5,130,8,100,8,-119
912,978,H,LAA,HSANTIAGO-L,0,2,0,0,0,0,0,1,x,3,100,117,1.5,-150,8,-120,8,-101
