bpid,mlbid,Name,Age,Team,WARP,DRA-,DRA,DRA SD,cFIP,G,GS,GR,IP,W,L,SV,ERA,RA9,FIP,WHIP,K%,BB%,K/BB,Whiff%
57403,488984,Tommy Hunter,30,TB,1.4,76,3.56,0.58,81,61,0,61,58.7,3,5,1,2.61,2.76,3.07,0.97,28.1,6.1,4.6,26.1
57181,517414,Randall Delgado,27,ARI,1.4,85,3.98,0.58,88,26,5,21,62.7,1,2,1,3.59,4.45,3.16,1.18,23.2,5.4,4.3,28
49775,476454,Dellin Betances,29,NYY,1.4,60,2.83,0.71,73,66,0,66,59.7,3,6,10,2.87,3.02,3.22,1.22,38.3,16.9,2.3,37.9
69156,542882,Matt Andriese,27,TB,1.4,106,4.99,0.68,105,18,17,1,86,5,5,1,4.5,5.02,4.93,1.37,20.3,7.5,2.7,24.6
68557,592332,Kevin Gausman,26,BAL,1.4,111,5.23,0.66,101,34,34,0,186.7,11,12,0,4.68,4.77,4.48,1.49,21.9,8.7,2.5,26
60759,476589,Adam Warren,29,NYY,1.4,88,4.16,0.58,97,46,0,46,57.3,3,2,1,2.35,2.98,3.02,0.87,24.2,6.7,3.6,23.5
59626,571578,Patrick Corbin,27,ARI,1.4,97,4.57,0.47,92,33,32,1,189.7,14,13,0,4.03,4.6,4.08,1.42,21.5,7.4,2.9,25.6
51032,501789,Will Harris,32,HOU,1.4,70,3.31,0.59,76,46,0,46,45.3,3,2,2,2.98,2.98,3.33,0.97,29.4,4,7.4,29.7
40263,450212,Pat Neshek,36,,1.4,79,3.7,0.49,84,71,0,71,62.3,5,3,1,1.59,1.88,1.86,0.87,29.4,2.6,11.5,26.8
50555,503285,Darren O'Day,34,BAL,1.4,75,3.51,0.55,81,64,0,64,60.3,2,3,2,3.43,3.58,3.7,1.08,31.7,10,3.2,25.7
102061,601713,Nick Pivetta,24,PHI,1.4,89,4.18,0.57,92,26,26,0,133,8,10,0,6.02,6.16,4.87,1.51,24,9.8,2.5,22.2
